#,App Name,Developer Email
1,LootsQuest: Gaming Rewards,contact@lootsquest.com
2,BlitzLoot,service@rhinosgames.com
3,Lootfiend: Idle Dungeons,service@megoogames.com
4,Loot Heroes: Fantasy RPG Games,support@moondripgames.com
5,Loot RPG,4314games@gmail.com
6,Ascension Loot - RNG Looting,devdelean@gmail.com
7,LootQuest – GPS Fantasy RPG,info@virtualcoma.com
8,LootBar,support@lootbar.gg
9,Loot Legends: Robots vs Aliens,salmonpiratestudios@gmail.com
10,Heroes of Loot 2,support@orangepixel.net
11,Get Loot,hello@payout.ai
